,Locality,Restaurant_Type,Ratings_out_of_5,Number of votes,Cuisines,Cost,payment_modes,5_star_review_percentage
9796,60,0,0.0,0,93,300.0,3,0
9797,94,34,0.0,0,1517,0.0,3,0
9798,5,34,0.0,0,226,0.0,5,0
9799,92,34,0.0,0,617,0.0,5,0
9800,93,69,0.0,0,2372,200.0,5,0
9801,60,69,0.0,0,2351,150.0,3,0
9802,60,69,0.0,0,1551,400.0,3,0
9803,41,80,0.0,0,479,0.0,3,0
9804,94,69,0.0,0,200,200.0,3,0
9805,93,69,0.0,0,1517,250.0,5,0
9806,60,69,0.0,0,1326,300.0,5,0
9807,51,23,0.0,0,1783,650.0,1,0
9808,23,80,0.0,0,200,0.0,3,0
9809,50,69,0.0,0,1326,100.0,3,0
9810,32,34,0.0,0,2288,0.0,5,0
9811,72,69,0.0,0,1326,300.0,3,0
9812,88,69,0.0,0,1517,350.0,3,0
9813,86,69,0.0,0,1048,350.0,3,0
9814,68,0,0.0,0,93,300.0,3,0
9815,93,34,0.0,0,1048,0.0,5,0
9816,93,69,0.0,0,1517,200.0,5,0
9817,66,80,0.0,0,1606,0.0,5,0
9818,50,80,0.0,0,479,0.0,5,0
9819,7,63,0.0,0,2181,150.0,3,0
9820,61,34,0.0,0,865,0.0,5,0
9821,7,80,0.0,0,1951,0.0,5,0
9822,93,69,0.0,0,241,200.0,5,0
9823,17,79,0.0,0,1326,0.0,1,0
9824,93,69,0.0,0,2199,350.0,6,0
9825,60,80,0.0,0,865,0.0,5,0
9826,60,80,0.0,0,968,0.0,3,0
9827,90,34,0.0,0,1517,0.0,3,0
9828,22,34,0.0,0,2351,0.0,3,0
9829,67,80,0.0,0,1554,0.0,6,0
9830,31,69,0.0,0,1679,500.0,5,0
9831,93,34,0.0,0,2198,0.0,5,0
9832,60,69,0.0,0,2157,150.0,5,0
9833,31,34,0.0,0,947,0.0,3,0
9834,50,34,0.0,0,479,0.0,5,0
9835,93,80,0.0,0,1517,0.0,3,0
9836,7,69,0.0,0,706,100.0,3,0
9837,19,34,0.0,0,1581,0.0,5,0
9838,17,69,0.0,0,865,150.0,5,0
9839,22,80,0.0,0,1326,0.0,3,0
9840,66,34,0.0,0,1517,0.0,5,0
9841,66,80,0.0,0,1517,0.0,3,0
9842,98,34,0.0,0,1591,0.0,5,0
9843,98,34,0.0,0,176,0.0,5,0
9844,5,69,0.0,0,1389,100.0,5,0
9845,50,34,0.0,0,479,0.0,5,0
9846,74,34,0.0,0,1581,0.0,5,0
9847,67,80,0.0,0,865,0.0,5,0
9848,12,69,0.0,0,737,500.0,5,0
9849,94,76,0.0,0,814,150.0,3,0
9850,31,34,0.0,0,479,0.0,5,0
9851,16,80,0.0,0,2148,0.0,3,0
9852,93,34,0.0,0,2194,0.0,5,0
9853,31,69,0.0,0,2463,150.0,3,0
9854,31,69,0.0,0,479,300.0,3,0
9855,31,69,0.0,0,295,300.0,3,0
9856,2,34,0.0,0,1581,0.0,5,0
9857,45,23,0.0,0,1381,600.0,6,0
9858,50,34,0.0,0,479,0.0,5,0
9859,50,69,0.0,0,865,300.0,5,0
9860,60,69,0.0,0,1022,200.0,3,0
9861,37,69,0.0,0,1517,200.0,5,0
9862,71,69,0.0,0,1517,250.0,5,0
9863,31,69,0.0,0,1581,300.0,6,0
9864,81,80,0.0,0,2463,0.0,3,0
9865,11,69,0.0,0,1326,300.0,3,0
9866,31,69,0.0,0,903,200.0,3,0
9867,59,63,0.0,0,2181,100.0,5,0
9868,17,69,0.0,0,1707,200.0,5,0
9869,32,80,0.0,0,1740,0.0,5,0
9870,45,69,0.0,0,307,100.0,6,0
9871,45,69,0.0,0,2354,100.0,3,0
9872,31,69,0.0,0,1883,200.0,6,0
9873,41,69,0.0,0,1888,200.0,3,0
9874,61,69,0.0,0,874,200.0,5,0
